idx,photo_id,file,copied_as,status,word_count,attempts,repair_used,query
11,0900eecd-e927-457e-8efd-8214f7a84a16,IMG_5274.jpg,011_IMG_5274.jpg,query_generation_error,18,2,True,Wide cascading waterfall flowing through dark rocky canyon with snow-dusted foreground and frozen ice formations on cliff walls
15,0c1efa10-69af-479b-a18d-5e86f2bbbdf3,IMG_7146.jpg,015_IMG_7146.jpg,query_generation_error,15,2,True,Sunset view of suspension bridge with sun shining through tower and golden reflection on water
18,0d98335a-e9b8-4284-b1bc-f6341acdbf3c,IMG_4794.jpg,018_IMG_4794.jpg,query_generation_error,16,2,True,Standing white marble figure raising one hand between two reclining sculptures against a burnt orange wall
25,1454b07a-5c43-44d8-b746-2714534493db,IMG_4293.JPG,025_IMG_4293.JPG,query_generation_error,15,2,True,Open blue ice cream tub with a circular scoop indentation beside a black laptop keyboard
28,14f4466e-edf1-482b-b9d3-abd79c26ade4,IMG_5238.jpg,028_IMG_5238.jpg,query_generation_error,15,2,True,Turquoise river cascading over dark rocky ledges with icy banks beneath a broad snow-streaked ridge
32,16632449-f69e-43f5-9544-3e73a51725c4,IMG_7204.jpg,032_IMG_7204.jpg,query_generation_error,16,2,True,"Aerial view of rocky valley with winding road, green YUNAK balloon bottom left, striped balloons right"
43,23b4836a-78a1-4478-809b-79d53a4a1569,IMG_7148.jpg,043_IMG_7148.jpg,query_generation_error,14,2,True,Suspension bridge silhouette with sun bursting through tower over rippling water and cloudy sky
45,24176ee3-9b7e-4680-a54a-f17aebe74575,9.jpg,045_9.jpg,query_generation_error,17,2,True,"Office desk with 2025/26 calendar, laptop showing man and woman dining, black mousepad, silver mouse, water bottle"
60,2f690200-500b-4cfb-bf24-50b8738ca9c5,3.jpg,060_3.jpg,query_generation_error,10,2,True,Office cubicle desk with 2025/26 calendar and laptop playing Seinfeld
63,303e0e16-6435-4362-9ec1-4ae33b4150ca,IMG_7072.jpg,063_IMG_7072.jpg,query_generation_error,15,2,True,Low-angle view of a cylindrical stone corner tower between wet cobbled streets and umbrella-carrying pedestrians
67,34381745-9c07-48a0-bf92-6825200fbcc3,IMG_6725.jpg,067_IMG_6725.jpg,query_generation_error,14,2,True,White egret standing on mossy rocks preening with long plume against green rippling water
72,3bd1714f-6d62-4086-a69b-b13b1e36a537,IMG_7230.jpg,072_IMG_7230.jpg,query_generation_error,14,2,True,"Seaside deck with a red lifebuoy, closed white umbrella, blue-trimmed canopy, and empty loungers"
75,3f61fdbf-3b0e-412f-9e9b-68896c636a3d,IMG_5108.jpg,075_IMG_5108.jpg,query_generation_error,14,2,True,Taxidermied white sheep standing on straw-covered base inside glass display case with metal posts
81,42991099-b994-4a4e-830c-b6b703f98df6,IMG_6456.jpg,081_IMG_6456.jpg,query_generation_error,18,2,True,View through rough stone window of blue sea with small rocky island and gray rectangular box on patio
82,42d31dd9-ade5-44dc-a059-3baca948636f,IMG_6473.jpg,082_IMG_6473.jpg,query_generation_error,16,2,True,Stone statue back view overlooking dense city and sea with white BARCELONA letters on terrace below
87,46f698e3-fccd-4f39-92be-da63a65e8736,IMG_6977.jpg,087_IMG_6977.jpg,query_generation_error,16,2,True,White chalk cliffs descending into turquoise water beyond tall white flowers and a small hillside turbine
93,4bf6cae2-c4de-4cc2-86db-d40be5ea40dd,2.jpg,093_2.jpg,query_generation_error,16,2,True,"Cubicle desk with a colorful wall calendar, tablet showing a blonde person, and two purple-capped bottles"
97,5417574b-bd16-4755-9467-3a58b5159e18,24.jpg,097_24.jpg,query_generation_error,18,2,True,Low angle view from textured yellow sofa looking toward blue curved couch and pink Unipol Donation Station screen
102,5898d910-9df9-4df3-a8f4-1ee086de4f0f,IMG_6820.jpg,102_IMG_6820.jpg,query_generation_error,19,2,True,Black Sony headphones connected via audio jack to DE1-SoC F36 FPGA development board with white USB cable on wood
107,5ce18d0c-4df9-4937-97ce-e63a096dd2fd,IMG_3589.JPG,107_IMG_3589.JPG,query_generation_error,14,2,True,Stone arch viaduct spanning river with rowboats moored in foreground and hillside town buildings
